id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
217,Linus,Pauling,1962,Peace,California Institute of Technology (Caltech),Pasadena CA,USA,2/28/1901,8/19/1994,male,Portland OR,USA,US,Big Sur CA,USA,US,NA,1,"""for his fight against the nuclear arms race between East and West""",USA,Portland OR,USA,Big Sur CA,Pasadena CA,USA
462,Henry,Dunant,1901,Peace,NA,NA,NA,1828-05-08,10/30/1910,male,Geneva,Switzerland,CH,Heiden,Switzerland,CH,NA,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",Switzerland,Geneva,Switzerland,Heiden,NA,NA
463,Frédéric,Passy,1901,Peace,NA,NA,NA,1822-05-20,6/12/1912,male,Paris,France,FR,Paris,France,FR,NA,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",France,Paris,France,Paris,NA,NA
464,Élie,Ducommun,1902,Peace,NA,NA,NA,1833-02-19,12/7/1906,male,Geneva,Switzerland,CH,Bern,Switzerland,CH,NA,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",Switzerland,Geneva,Switzerland,Bern,NA,NA
465,Albert,Gobat,1902,Peace,NA,NA,NA,1843-05-21,3/16/1914,male,Tramelan,Switzerland,CH,Bern,Switzerland,CH,NA,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",Switzerland,Tramelan,Switzerland,Bern,NA,NA
466,Randal,Cremer,1903,Peace,NA,NA,NA,1828-03-18,7/22/1908,male,Fareham,United Kingdom,GB,London,United Kingdom,GB,NA,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",United Kingdom,Fareham,United Kingdom,London,NA,NA
467,Institute of International Law,NA,1904,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",NA,NA,NA,NA,NA,NA
468,Bertha,von Suttner,1905,Peace,NA,NA,NA,1843-06-09,6/21/1914,female,Prague,Czech Republic,CZ,Vienna,Austria,AT,NA,1,"""for her audacity to oppose the horrors of war""",Austrian Empire (now Czech Republic),Prague,Austria,Vienna,NA,NA
470,Theodore,Roosevelt,1906,Peace,NA,NA,NA,1858-10-27,1/6/1919,male,New York NY,USA,US,Oyster Bay NY,USA,US,NA,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",USA,New York NY,USA,Oyster Bay NY,NA,NA
471,Ernesto Teodoro,Moneta,1907,Peace,NA,NA,NA,1833-09-20,2/10/1918,male,Milan,Italy,IT,Milan,Italy,IT,NA,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",Austrian Empire (now Italy),Milan,Italy,Milan,NA,NA
472,Louis,Renault,1907,Peace,Sorbonne University,Paris,France,1843-05-21,2/8/1918,male,Autun,France,FR,Barbizon,France,FR,NA,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",France,Autun,France,Barbizon,Paris,France
473,Klas Pontus,Arnoldson,1908,Peace,NA,NA,NA,1844-10-27,2/20/1916,male,Gothenburg,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Sweden,Gothenburg,Sweden,Stockholm,NA,NA
474,Fredrik,Bajer,1908,Peace,NA,NA,NA,1837-04-21,1/22/1922,male,Næstved,Denmark,DK,Copenhagen,Denmark,DK,NA,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Denmark,Næstved,Denmark,Copenhagen,NA,NA
475,Auguste,Beernaert,1909,Peace,NA,NA,NA,1829-07-26,10/6/1912,male,Ostend,Belgium,BE,Lucerne,Switzerland,CH,NA,2,"""for their prominent position in the international movement for peace and arbitration""",Belgium,Ostend,Switzerland,Lucerne,NA,NA
